pick_mode,mom_wins,rebal_n,abs_thresh,ma_win,trail_stop,risk_adj,calmar,ann,mdd,sharpe,total,years,max_hold,dist
all,"(60,)",5,0.0,20,0.05,True,-0.26491225505464167,-0.15381829203218567,0.5806386420305796,-0.47650262422982853,-0.5290211799627762,4.508064516129032,1,6.064912255054642
all,"(20, 60)",5,0.0,60,0.08,True,-0.2820621448882017,-0.1452367486392998,0.5149104595260946,-0.2939419883313427,-0.5071024489641238,4.508064516129032,1,6.0820621448882015
class,"(60,)",5,0.0,60,0.08,True,-0.28358849318745044,-0.13961887505416648,0.4923291262099241,-0.4842554690034075,-0.4923291262099241,4.508064516129032,1,6.083588493187451
all,"(20, 60)",5,0.0,20,0.08,True,-0.28362034021387894,-0.14685169488977057,0.5177756108007954,-0.30835892191278996,-0.5112867185666803,4.508064516129032,1,6.083620340213879
all,"(20, 60)",5,0.0,60,0.05,True,-0.2844885366872226,-0.14638220219720777,0.5145451690313478,-0.3497263078406102,-0.5100731403722482,4.508064516129032,1,6.084488536687222
all,"(10, 20, 60)",5,0.08,60,0.05,True,-0.2924185371719839,-0.17523437848838874,0.59925878907371,-0.5118825809819241,-0.5804219872403367,4.508064516129032,1,6.092418537171984
all,"(10, 20, 60)",5,0.08,20,0.05,True,-0.2958265956905835,-0.1809106357358462,0.6115428374975036,-0.5358724702002485,-0.5932834461713645,4.508064516129032,1,6.095826595690584
all,"(20, 60)",5,0.0,20,0.05,True,-0.29738321318045835,-0.1705480575549344,0.5734959136763456,-0.44618635008370805,-0.5695669415545589,4.508064516129032,1,6.097383213180458
all,"(60,)",10,0.08,20,0.08,True,-0.30314957893080613,-0.18548282251889248,0.6118524827680164,-0.6301114051430431,-0.6034183932191663,4.508064516129032,1,6.103149578930806
all,"(60,)",10,0.0,20,0.08,True,-0.30420243420834214,-0.1873281884586182,0.6158010830719418,-0.6335226197981719,-0.6074527929861243,4.508064516129032,1,6.104202434208342
all,"(10, 20, 60)",5,0.0,60,0.08,True,-0.30428252747173645,-0.18407672570082,0.6049533216064078,-0.4286442203410004,-0.6003227378303656,4.508064516129032,1,6.104282527471736
all,"(60,)",10,0.08,60,0.08,True,-0.3066988746584632,-0.18793796399704088,0.6127768294106939,-0.6172836340543862,-0.6087788592293291,4.508064516129032,1,6.106698874658463
